Date,Name,Year,Letterboxd URI
2024-07-19,The Big Lebowski,1998,https://boxd.it/2b6C
2024-07-19,La La Land,2016,https://boxd.it/a5fa
2024-07-19,Inside Out 2,2024,https://boxd.it/CFrC
2024-07-19,Gladiator,2000,https://boxd.it/2b9m
2024-07-19,Princess Mononoke,1997,https://boxd.it/2b4w
2024-07-19,Inside Out,2015,https://boxd.it/4KHC
2024-07-19,10 Things I Hate About You,1999,https://boxd.it/23AO
2024-07-19,Fight Club,1999,https://boxd.it/2a9q
2024-07-19,(500) Days of Summer,2009,https://boxd.it/1EmM
2024-07-19,The Devil Wears Prada,2006,https://boxd.it/2awE
2024-07-19,American Psycho,2000,https://boxd.it/28Vs
2024-07-19,The Silence of the Lambs,1991,https://boxd.it/2aHW
2024-07-19,The Shining,1980,https://boxd.it/29Nu
2024-07-19,The Truman Show,1998,https://boxd.it/18U8
2024-07-19,Barbie,2023,https://boxd.it/bCLK
2024-07-19,Poor Things,2023,https://boxd.it/tNWU
2024-07-19,Aftersun,2022,https://boxd.it/Arw0
2024-07-19,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK
2024-07-19,The Fall Guy,2024,https://boxd.it/s0Bm
2024-07-19,Anatomy of a Fall,2023,https://boxd.it/yuDE
2024-07-19,Howl's Moving Castle,2004,https://boxd.it/23De
2024-07-19,Parasite,2019,https://boxd.it/hTha
2024-07-19,Dead Poets Society,1989,https://boxd.it/2aSg
2024-07-19,Black Swan,2010,https://boxd.it/Sw0
2024-07-19,Whiplash,2014,https://boxd.it/7bQA
2024-07-19,Requiem for a Dream,2000,https://boxd.it/29VI
2024-07-19,Se7en,1995,https://boxd.it/29zs
2024-07-19,Before Sunrise,1995,https://boxd.it/2bcU
2024-07-19,Spirited Away,2001,https://boxd.it/2b4m
2024-07-19,Fantastic Mr. Fox,2009,https://boxd.it/1WyQ
2024-07-19,Lost in Translation,2003,https://boxd.it/2b0E
2024-07-19,Everything Everywhere All at Once,2022,https://boxd.it/jUk4
2024-07-19,The Godfather,1972,https://boxd.it/2aNK
2024-07-19,Mean Girls,2004,https://boxd.it/1VNg
2024-07-19,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/2b5O
2024-07-19,Kill Bill: Vol. 1,2003,https://boxd.it/70w
2024-07-19,Donnie Darko,2001,https://boxd.it/2b2A
2024-07-19,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/kSz4
2024-07-19,Good Will Hunting,1997,https://boxd.it/2ahY
